Time [s]	Intensity Region 1	Intensity Region 2	Intensity Region 3
0.000	67.611	71.219	6.405
0.197	69.270	71.280	6.275
0.394	68.350	70.707	5.618
0.591	69.216	71.421	5.191
0.788	68.729	71.391	5.858
0.985	67.783	71.252	5.922
1.622	14.185	71.827	6.133
1.819	14.535	70.755	5.396
2.016	15.099	70.708	5.636
2.213	15.443	70.035	5.416
2.410	15.253	71.130	5.471
2.607	15.412	70.617	5.145
2.804	15.779	70.567	5.627
3.001	16.370	69.556	5.243
3.198	16.558	70.092	5.390
3.395	17.112	71.103	6.272
3.592	16.517	70.079	6.014
3.789	17.468	70.039	5.751
3.986	17.362	70.082	5.341
4.183	17.526	70.874	5.393
4.380	18.006	70.788	5.905
4.577	18.039	70.725	5.422
4.774	18.244	70.823	5.653
4.971	18.435	70.391	5.361
5.168	18.697	70.323	5.321
5.365	19.197	69.955	5.861
5.562	19.202	70.851	5.468
5.759	19.368	70.360	6.240
5.956	19.127	69.463	4.858
6.153	19.596	69.914	5.561
6.350	20.318	70.566	6.254
6.547	19.763	70.400	5.613
6.744	19.848	69.679	5.168
6.941	20.334	71.155	5.763
7.138	20.331	70.593	5.569
7.335	20.544	70.474	5.153
7.533	20.791	70.391	4.962
7.730	20.961	70.959	5.772
7.927	21.224	69.935	5.306
8.124	20.725	70.003	5.705
8.321	21.572	70.023	5.442
8.518	21.423	69.375	5.679
8.715	21.592	69.919	5.662
8.912	21.696	70.636	5.769
9.109	22.188	70.186	5.410
9.306	21.729	71.027	4.991
9.503	22.548	70.978	5.512
9.700	22.625	70.459	5.853
9.897	22.641	70.199	5.529
10.094	22.686	69.679	5.506
10.291	22.466	70.343	4.783
10.488	22.746	70.239	5.887
10.685	22.706	69.580	5.373
10.882	22.948	69.156	5.798
11.079	23.638	69.881	6.318
11.276	23.824	69.919	5.075
11.473	23.650	70.099	5.301
11.670	23.687	70.150	4.621
11.867	23.701	70.378	5.390
12.064	23.910	70.010	4.939
12.261	24.446	69.906	5.448
12.458	24.375	69.283	5.295
12.655	23.803	69.467	5.491
12.852	24.335	69.579	5.361
13.049	24.961	70.358	5.526
13.246	24.667	69.682	6.064
13.443	24.873	70.009	5.445
13.640	25.259	69.411	5.939
13.837	24.683	69.712	5.636
14.034	25.369	69.885	6.069
14.231	25.171	70.099	5.939
14.428	25.575	70.206	5.410
14.625	25.284	71.056	6.246
14.822	25.526	69.988	5.720
15.019	25.447	70.255	5.312
15.216	25.618	68.787	5.751
15.413	25.616	70.156	4.844
15.610	25.712	70.220	5.393
15.807	26.105	69.818	5.546
16.004	26.346	70.526	6.257
16.201	26.634	70.612	6.249
16.398	26.016	70.720	6.121
16.595	26.414	70.399	5.974
16.792	26.866	71.011	5.650
16.989	27.060	69.589	5.604
17.186	26.430	70.186	5.405
17.383	26.951	69.467	5.662
17.580	26.844	70.131	5.168
17.777	27.122	70.047	5.286
17.974	27.388	69.486	5.601
18.171	27.156	70.171	5.954
18.369	27.234	69.926	6.029
18.566	27.458	69.908	6.962
18.763	27.187	69.193	5.523
18.960	27.795	70.495	5.968
19.157	27.400	69.692	5.847
19.354	27.939	68.789	5.460
19.551	27.460	69.739	4.936
19.748	27.613	69.508	5.523
19.945	27.261	69.556	5.838
20.142	27.858	69.529	5.876
20.339	27.664	69.165	6.095
20.536	28.737	69.479	5.786
20.733	27.680	69.365	6.422
20.930	28.037	69.440	5.691
21.127	28.394	69.905	5.040
21.324	28.283	69.054	5.988
21.521	28.288	69.065	5.627
21.718	28.408	69.367	5.783
21.915	28.156	69.091	5.962
22.112	28.308	68.768	5.465
22.309	28.759	70.215	5.543
22.506	28.394	69.449	5.500
